comment_text,author,likes,published_at,channel_id,reply_count
"APAGUEM ESSE FILME E FAÇAM UMA ANIMAÇÃO, PELO AMOR DE DEUS, ISSO TA HORRIVEL, DA VONTADE DE ARRANCAR MEUS OLHOS",@Cego_Cegueta_1,0,2025-02-02 06:53:18+00:00,UCvxi5Avw9ZIs5NYYGPHjIJA,0
"The comment section is flooded with robot comments trying to gaslight you,nobody wants to see jack black,stop running cover for him",@JorgeGarcia-ex3mq,2,2025-02-02 15:13:52+00:00,UCliO5Li2KkXqCvlGDq4INrg,0
The biggest dumpster fire of all time in movie history.,@DainBaptist-x4y,0,2025-02-02 15:38:26+00:00,UCQ6Yv8K3dg-8nBm62WbpPvg,0
Garbage. Jack is trash.  Same guy just in a blue shirt,@quarterblacktravis,4,2025-02-02 17:34:05+00:00,UCAAf0viT9wnivmq6REjSwIA,0
to all the haters go touch some grass not in minecraft but in real life to think you gonna hate on a movie is just a movie get some air plz,@thorraes1841,1,2025-02-02 18:40:21+00:00,UC9vC6y0waF0166SZ1kgAUBw,1
Those ghast blimps are pretty cool not gonna like. 😂,@RUGER5264,0,2025-02-03 04:11:18+00:00,UC4qTem2NtuRt88Y_85BQz8A,0
"The movie hasn't come out yet, and it looks like garbage (still).
Should've listened to the fans and made it into a Lego Movie like animation.",@mutedeternal,1,2025-02-03 06:51:58+00:00,UCSyDLnqF4DQXRgoJKiVmm-Q,2
"I feel that this is gonna have a you were supposed to be a hero brian moment like the meme  but brian is actually ""garret the garbage man garrison"" but hey thats just a theory a game theory",@Lordstarscream1500,0,2025-02-03 10:07:42+00:00,UCFXf3-ZEwAZolyE1BYLsOIA,0
"Sooo, maybe it's not really cool?..It's like a cheap Minecraft show. I'm in shoke",@Rushi404,1,2025-02-03 12:02:40+00:00,UCWB5cbvpj8RSDCZLqZ_5Y3g,0
Brooo this movie could be an April fools prank ?,@باتمان-ظ5ق,1,2025-02-03 17:49:34+00:00,UCyakH-_PRZxT-sKgq9YUUEA,1
*I love this movie so much I wish it would release in theatres 3 days earlier.*,@christakpan,1,2025-02-04 00:38:33+00:00,UCchn4pJtk0sxwjmIaH3wy2Q,0
Those sellout ytubers' comments w/ check mark at the top comments.. A big YIKES!,@HaRacycEBLErAtIng,3,2025-02-04 02:52:20+00:00,UCkMCIw7ZkI3B2SdeLAnHfoA,0
Imagine if mumbo jumbo was there.   They would have dominated,@shadowking-shadow,0,2025-02-04 04:37:57+00:00,UCOTvIaeT8Do6K1vamCFSbWQ,0
I dont get why everyone's praising the movie over a corny joke,@shrewbrinacarpenter,3,2025-02-04 06:05:47+00:00,UCc5bPXZqOmeW5R4cHo-nOdA,0
No hay niños? No me gustaron los personajes no se ajustan,@carolag8685,0,2025-02-04 11:56:28+00:00,UCXPzgkzr35sUzDF7QOLiWaA,0
yooo guys you should seriously check the trailer by Neytirix its jus too good,@Sooraj-h2d,0,2025-02-04 14:47:18+00:00,UCY01NXG8JDRYeeeERSjV87A,1
I sure hope C418 is getting royalties for this. If not I'm not watching.,@FPV_LAB,0,2025-02-05 02:38:13+00:00,UCHvvrCyDJLChtXfud8QiJLQ,0
I feel like this is actually going to be a great movie now that they show more of the characters and items and animals and creatures from the actual game the zombies look really good. Also they have a natural design. This is gonna be great especially the chicken part.,@KingWright-d7v,0,2025-02-05 04:03:51+00:00,UCKVE_WIg4WIHPmoMzpMrZPA,0
Is no one gonna talk about how cute that bee is at 0:03,@justatrike3430,4,2025-02-05 08:19:40+00:00,UCchX_Juu6LC__tTUtm3-qlA,0
"1:20 Why not full-automatic?!?
Steve you stupid Noob! 
Should have casted the Joecraft",@Luis-y9l,0,2025-02-05 10:29:12+00:00,UCqZtzHel6Yl9reiy6tnfB7A,3
"There is one more thing you need to know ""We're Not Square"".",@BESTBeforeExpiration,0,2025-02-05 12:44:26+00:00,UCWp4ZuSnpBYP_mxvCaqxoHg,0
This movie still sucks. You guys switch up so fast.,@darksun4029,3,2025-02-05 13:58:54+00:00,UCwYaoLA_CCf0Ppd79sEitMQ,4
"If there isn't AT LEAST 1 Herobrine reference, the movie's a 1/10",@_Velqine_,3,2025-02-05 21:40:43+00:00,UCQ8Wwo8KU2Nq6w_IG36JiSA,0
BRO IM OBSESSED WITH THIS TRAILER (wait is steve the voice actor for po?),@MaryamKabitah,0,2025-02-06 07:13:49+00:00,UCZ_WkduTfiJx57f-YUhlOBw,0
this movie is going to be AWESOME with Jack Black being steve!!!,@Ella-c6j9b,1,2025-02-06 23:42:08+00:00,UCvIYqdi2nARo_M2-s8P7tXQ,0
I plan to watch it when it comes out in theaters but it wont come out until the middle of spring so it will be quite a while before I see it,@Bombiedude.,0,2025-02-07 02:20:39+00:00,UCegtFyUpuyTmfouG0rIbndA,0
I speak for all gamers. Please don’t f*** this up for us. WB,@SiirAnalytiical,0,2025-02-07 06:01:37+00:00,UC5X_CqcCWJn0w7nUKTnMwjg,0
I'm sure you see now why this absolutely needed to be live action.,@ninjabluefyre3815,0,2025-02-07 06:40:07+00:00,UCiQyzWHbQhJNfwgfWVd3GqQ,0
A group of people getting stuck in a video game where they have to beat said game in order to leave. I’ve seen this plot line before.,@joshuahorrocks3315,0,2025-02-07 09:07:34+00:00,UCC5fPQXkhhvtkh5vmwSLXBg,0
You know its funny to think the reason Steve and Alex entered Minecraft even thought the old builders died out was bc they were from the real world,@singularitystudios4502,1,2025-02-07 09:51:41+00:00,UCeUhlcPcrj3XEHNlEa33-gg,0
"Idc if the bucket on the last trailer was not existed in the game. At least, we are excited",@mOnkoy55,0,2025-02-07 10:31:46+00:00,UC1jZ2DH9xwOkgKFcH_S8-_g,0
my mom said the video is in minecraft and others 🎊 happy minecraft day in april 🎊,@getdrawedrorsyt,0,2025-02-07 15:06:20+00:00,UCcB-YbMdQ4xUpWKU2yI3CHQ,0
I personally look forward to watching this with my kids,@dtprodrive,0,2025-02-07 18:11:26+00:00,UCjG3ImJFBE9aeCVUtvubiGw,0
"libtards ruining minecraft now, star wars n marvel wasnt enough",@ickabob,0,2025-02-07 19:23:31+00:00,UCjBTcer60VA8qWPm9V5h3gA,0
:احح قادحح وساطيي🔥🔥🙀🙀😱😱🙀🚫🌪 ❌ دربديد دربد دربديد 😜❌😱 يا زاحف 😵✌🏻 يا خطير ❌ حظ ولاسواقه😹😜❌ كيف اصير زيك 😱😱 اتحداك ✌🏻احح قادحح وساطيي🔥🔥🔥🔥,@Colo-q4v,0,2025-02-07 20:20:50+00:00,UCJnsKl8ZtY1X1VjzR6DSV3Q,0
honesty didn't think much of this movie until this trailer came out,@xGHOSTx2006,0,2025-02-08 00:27:02+00:00,UCEIZr3GcSOm5RDNccnDJo8Q,0
Can you imagine this becoming an all time classic?! Neither can I.,@starman5313,0,2025-02-08 02:11:13+00:00,UClU3aY7GApIrFc3_9D4IqlQ,0
I thought this was going to be animated. I didn't want actual people in it.,@starman5313,0,2025-02-08 02:11:41+00:00,UClU3aY7GApIrFc3_9D4IqlQ,0
We wanted a smart character as Steve but he is just too fatty I don't like him as Steve 😂😂😂😂😂😂😂😢😢😢😢😢😢,@Iqrafida-q6x,1,2025-02-08 07:56:56+00:00,UCvIq25ABNu5dOFJP7zq6pQQ,0
My birthday is the day be for this movie comes out,@Grahamsgaminglife,3,2025-02-08 14:19:21+00:00,UCHDV8YiRphO1cWZgvPDv_Uw,0
I really hope the Minecraft movie is good and not a financial flop,@andrepike6691,0,2025-02-08 19:53:09+00:00,UC1khRq45MNFt0TmxGsGfoXg,0
MINECRAFT is the best game of all time. It reflects our God given creativity. Perfectly. I pray for notch,@jdtubeyou,0,2025-02-08 20:10:09+00:00,UCuwUAWN1qOgjHg592TXNzFA,0
Idc what anyone saids Im still gonna watch this movie and enjoy every second of it,@ArtisHicks-st6hm,1,2025-02-08 21:50:22+00:00,UC-bEi99evbZgmZFVLlX9mcQ,1
"Totally missed the ball, I wish the fan made cinematic trailer was real that could've been a beautiful movie. Instead we get Jack Black making stupid fart jokes",@LizzieMcguire69,1,2025-02-08 23:08:35+00:00,UCQ5YKN7yailqgR8Xu-CVRug,0
0:36 THIS SONG IS ABSOLUTELY PEAK AND THIS TEASER IS SO GOOD LOL,@Robloxtapevideos,0,2025-02-09 00:08:28+00:00,UCfDb_FYun53diEprstxSM7A,0
"Some characters remind me of Minecraft Story Mode. 
Emma->Petra
The other girl -> Olivia
And maybe the strong man -> Axel

I don't know.",@NahirGP,0,2025-02-09 00:42:44+00:00,UCb-hAHIDRcbsrWrr4BeZkDA,0
Possibly and hopefully might be the next best thing after deadpool and wolverine 🤞🫶,@fieldvegeta,0,2025-02-09 01:33:14+00:00,UCB7wpUClGgwvPBUuzcQLsyQ,0
"Wow, ppl forget so much easly. Internet is sad sometimes",@tarnishedluis,0,2025-02-09 02:29:57+00:00,UCP6nalkI6_euID40ru5TYog,0
I think this movie will be come a promotion of minecraft,@BUSSIDGAMING2,0,2025-02-09 08:57:03+00:00,UCd14xSCrZbImvlRgCVvchFA,0
now we can understand more in end dialogue if we sees it,@superlazy6965,0,2025-02-09 10:42:56+00:00,UCFHV-fEQWof2XSJ8sTPquCg,0
I like it but a tip don’t make it sort of humany…,@jessicamonsod4782,0,2025-02-09 11:51:33+00:00,UCD-58Xq6rV9QTPJuzl8Afnw,0
Everybody in my hood knows this movie trailer was awful. Nice looking animation? Yes. But the jokes fell flat. I'll pass.,@insidemonthly,0,2025-02-09 12:22:11+00:00,UC-uJ01aavywRHOwmCpUCLgg,0
"Wait, weren't we expecting the movie to be live action anyway? With all the concept trailers?",@haroldcompton1266,1,2025-02-09 13:46:27+00:00,UC9CPaYXqWlw7bL94431nR4w,0
i will sue warner brothers if they dont add the ENTIE minecraft sound track in this movie lol,@relishgood,0,2025-02-09 16:26:27+00:00,UCKJJzwSqaak_-jSBRi2T0zA,0
